run,Z,A,setting,line,delta_e_eV,w12_per_s
Be9_g0u0800,4,9,g0u0800,O9-P11,543.313124,86030188135.030121
Be9_g0u0800,4,9,g0u0800,P10-Q12,327.601706,38158581032.088287
Be9_g0u0800,4,9,g0u0800,P11-Q12,327.595862,587031877.564662
Be9_g0u0800,4,9,g0u0800,P11-Q13,327.598491,38745079229.724663
Be9_g0u0800,4,9,g0u0800,Q12-R14,212.624729,19268153562.290806
Be9_g0u0800,4,9,g0u0800,Q13-R14,212.622101,214084320.586370
Be9_g0u0800,4,9,g0u0800,Q13-R15,212.623422,19482064718.420357
Be9_g0u0900,4,9,g0u0900,K1-L2,33390.935202,32862703480656.921875
Be9_g0u0900,4,9,g0u0900,K1-L3,33393.311858,32857858804101.871094
Be9_g0u0900,4,9,g0u0900,L2-M4,6182.087510,2821944982034.142578
Be9_g0u0900,4,9,g0u0900,L3-M4,6179.710854,564140815279.343018
Be9_g0u0900,4,9,g0u0900,L3-M5,6179.944893,3385060523410.290527
Be9_g0u0900,4,9,g0u0900,M4-N6,2161.491355,673276550663.130127
Be9_g0u0900,4,9,g0u0900,M5-N6,2161.257316,48083267995.602478
Be9_g0u0900,4,9,g0u0900,M5-N7,2161.306640,721290214783.444214
Be9_g0u0900,4,9,g0u0900,N6-O8,1000.253197,214575709043.707245
Be9_g0u0900,4,9,g0u0900,N7-O8,1000.203873,7946539913.156883
Be9_g0u0900,4,9,g0u0900,N7-O9,1000.219022,222512653876.721313
Be9_g0u0900,4,9,g0u0900,O8-P10,543.322429,84120447958.550674
Be9_g0u0900,4,9,g0u0900,O9-P10,543.307280,1911719822.048293
Be9_g0u0900,4,9,g0u0900,O9-P11,543.313124,86030188137.936310
Be9_g0u0900,4,9,g0u0900,P10-Q12,327.601706,38158581032.274208
Be9_g0u0900,4,9,g0u0900,P11-Q12,327.595862,587031877.569151
Be9_g0u0900,4,9,g0u0900,P11-Q13,327.598491,38745079229.893539
Be9_g0u0900,4,9,g0u0900,Q12-R14,212.624729,19268153562.299400
Be9_g0u0900,4,9,g0u0900,Q13-R14,212.622101,214084320.586532
Be9_g0u0900,4,9,g0u0900,Q13-R15,212.623422,19482064718.428108
Be9_g0u1000,4,9,g0u1000,K1-L2,33390.935504,32862707105285.789062
Be9_g0u1000,4,9,g0u1000,K1-L3,33393.312160,32857858929071.308594
Be9_g0u1000,4,9,g0u1000,L2-M4,6182.087532,2821944986999.934082
Be9_g0u1000,4,9,g0u1000,L3-M4,6179.710877,564140816272.212036
Be9_g0u1000,4,9,g0u1000,L3-M5,6179.944916,3385060529322.527344
Be9_g0u1000,4,9,g0u1000,M4-N6,2161.491358,673276550948.101807
Be9_g0u1000,4,9,g0u1000,M5-N6,2161.257319,48083268015.985695
Be9_g0u1000,4,9,g0u1000,M5-N7,2161.306643,721290215089.428589
Be9_g0u1000,4,9,g0u1000,N6-O8,1000.253198,214575709063.576721
Be9_g0u1000,4,9,g0u1000,N7-O8,1000.203873,7946539913.888733
Be9_g0u1000,4,9,g0u1000,N7-O9,1000.219022,222512653897.354919
Be9_g0u1000,4,9,g0u1000,O8-P10,543.322429,84120447960.815018
Be9_g0u1000,4,9,g0u1000,O9-P10,543.307280,1911719822.103619
Be9_g0u1000,4,9,g0u1000,O9-P11,543.313124,86030188140.214340
Be9_g0u1000,4,9,g0u1000,P10-Q12,327.601706,38158581032.414604
Be9_g0u1000,4,9,g0u1000,P11-Q12,327.595862,587031877.572560
Be9_g0u1000,4,9,g0u1000,P11-Q13,327.598491,38745079230.021172
Be9_g0u1000,4,9,g0u1000,Q12-R14,212.624729,19268153562.305977
Be9_g0u1000,4,9,g0u1000,Q13-R14,212.622101,214084320.586659
Be9_g0u1000,4,9,g0u1000,Q13-R15,212.623422,19482064718.433998
Be9_g0u1100,4,9,g0u1100,K1-L2,33390.935736,32862707203409.195312
Be9_g0u1100,4,9,g0u1100,K1-L3,33393.312392,32857859027269.156250
Be9_g0u1100,4,9,g0u1100,L2-M4,6182.087550,2821944990843.057129
Be9_g0u1100,4,9,g0u1100,L3-M4,6179.710894,564140857622.061523
Be9_g0u1100,4,9,g0u1100,L3-M5,6179.944933,3385060533930.603027
Be9_g0u1100,4,9,g0u1100,M4-N6,2161.491360,673276551190.984131
Be9_g0u1100,4,9,g0u1100,M5-N6,2161.257321,48083268033.330856
Be9_g0u1100,4,9,g0u1100,M5-N7,2161.306645,721290215327.350708
Be9_g0u1100,4,9,g0u1100,N6-O8,1000.253198,214575709073.140808
Be9_g0u1100,4,9,g0u1100,N7-O8,1000.203874,7946539914.242132
Be9_g0u1100,4,9,g0u1100,N7-O9,1000.219023,222512653907.378418
Be9_g0u1100,4,9,g0u1100,O8-P10,543.322429,84120447962.497070
Be9_g0u1100,4,9,g0u1100,O9-P10,543.307280,1911719822.140122
Be9_g0u1100,4,9,g0u1100,O9-P11,543.313124,86030188141.951981
Be9_g0u1100,4,9,g0u1100,P10-Q12,327.601706,38158581032.524071
Be9_g0u1100,4,9,g0u1100,P11-Q12,327.595862,587031877.575213
Be9_g0u1100,4,9,g0u1100,P11-Q13,327.598491,38745079230.120743
Be9_g0u1100,4,9,g0u1100,Q12-R14,212.624729,19268153562.310974
Be9_g0u1100,4,9,g0u1100,Q13-R14,212.622101,214084320.586754
Be9_g0u1100,4,9,g0u1100,Q13-R15,212.623422,19482064718.438519
Be9_g0u1200,4,9,g0u1200,K1-L2,33390.935919,32862707282196.136719
Be9_g0u1200,4,9,g0u1200,K1-L3,33393.312574,32857859106045.933594
Be9_g0u1200,4,9,g0u1200,L2-M4,6182.087564,2821944993909.035156
Be9_g0u1200,4,9,g0u1200,L3-M4,6179.710908,564140858235.175537
Be9_g0u1200,4,9,g0u1200,L3-M5,6179.944947,3385060537607.726074
